Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #     S      #     #
#     #            #     #
#     #            #     #
#     #  A         #     #
#     #            #     #
#     #  B         #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 6.  6.]
 [ 3.  9.]
 [ 3. 11.]
 [ 6.  5.]
 [ 3.  8.]
 [ 2. 10.]
 [ 5.  4.]
 [ 4.  8.]
 [ 3. 11.]
 [ 4.  4.]
 [ 3.  9.]
 [ 2. 12.]
 [ 3.  3.]
 [ 4. 10.]
 [ 1. 12.]
 [ 3.  2.]
 [ 3. 10.]
 [ 1. 11.]
 [ 4.  2.]
 [ 3.  9.]
 [ 2. 11.]
 [ 5.  3.]
 [ 2. 10.]
 [ 1. 11.]
 [ 4.  3.]
 [ 3.  9.]
 [ 2. 11.]
 [ 4.  4.]
 [ 3. 10.]
 [ 2. 10.]
 [ 3.  4.]
 [ 2. 10.]
 [ 2. 11.]]
