maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents,move_type
1,10,0000000000,0,A,0,0,1,"(0, 1)",intermediate_case1
2,10,0000000000,0,B,0,0,1,"(0, 1)",intermediate_case1
3,10,0000000000,0,C,0,0,1,"(0, 1)",intermediate_case1
4,10,0000000000,0,D,0,0,1,"(0, 1)",intermediate_case1
5,10,0000000000,0,E,0,0,1,"(0, 1)",intermediate_case1
6,10,0000000000,0,A,0,0,1,"(0, 1)",intermediate_case1
7,10,0000000000,0,B,0,0,1,"(0, 1)",intermediate_case1
8,10,0000001000,8,C,0,0,1,"(0, 1)",intermediate_case1
9,10,0000000000,0,D,0,0,1,"(0, 1)",intermediate_case1
10,10,0000000000,0,E,0,0,1,"(0, 1)",intermediate_case1
