trial_id,mode,relpath_txt,n_agents,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
3_12_case10_10,logic,logic/3_12_case10_10.txt,3,D,"[[6, 6], [8, 3], [9, 9]]","[125, 55, 200]","[[3, 6], [8, 1], [12, 9]]","[122, 7, 203]","[[1, 6], [8, 2], [11, 8]]","[120, 31, 178]","[[1, 6], [8, 1], [12, 9]]","[120, 7, 203]"
3_12_case10_106,logic,logic/3_12_case10_106.txt,3,D,"[[6, 6], [6, 7], [11, 3]]","[125, 149, 58]","[[2, 6], [6, 3], [12, 3]]","[121, 53, 59]","[[1, 6], [6, 1], [12, 2]]","[120, 5, 35]","[[1, 6], [6, 1], [12, 3]]","[120, 5, 59]"
3_12_case10_118,logic,logic/3_12_case10_118.txt,3,D,"[[6, 6], [4, 2], [12, 3]]","[125, 27, 59]","[[3, 6], [4, 1], [12, 3]]","[122, 3, 59]","[[2, 6], [5, 1], [12, 2]]","[121, 4, 35]","[[1, 6], [4, 1], [12, 3]]","[120, 3, 59]"
3_12_case10_130,logic,logic/3_12_case10_130.txt,3,C,"[[6, 6], [1, 10], [4, 5]]","[125, 216, 99]","[[1, 6], [1, 5], [9, 5]]","[120, 96, 104]","[[1, 6], [1, 1], [12, 5]]","[120, 0, 107]","[[1, 6], [1, 1], [13, 6]]","[120, 0, 132]"
3_12_case10_142,logic,logic/3_12_case10_142.txt,3,A,"[[1, 6], [2, 2], [11, 9]]","[120, 25, 202]","[[6, 6], [2, 12], [1, 9]]","[125, 265, 192]","[[1, 6], [2, 7], [6, 9]]","[120, 145, 197]","[[1, 6], [2, 3], [10, 9]]","[120, 49, 201]"
3_12_case10_154,logic,logic/3_12_case10_154.txt,3,B,"[[6, 6], [12, 10], [12, 1]]","[125, 227, 11]","[[1, 6], [12, 1], [12, 1]]","[120, 11, 11]","[[1, 6], [12, 5], [12, 1]]","[120, 107, 11]","[[1, 5], [12, 1], [12, 2]]","[96, 11, 35]"
3_12_case10_166,logic,logic/3_12_case10_166.txt,3,B,"[[6, 6], [12, 2], [10, 1]]","[125, 35, 9]","[[1, 6], [12, 1], [12, 1]]","[120, 11, 11]","[[3, 6], [12, 1], [12, 1]]","[122, 11, 11]","[[2, 7], [11, 2], [11, 1]]","[145, 34, 10]"
3_12_case10_178,logic,logic/3_12_case10_178.txt,3,C,"[[6, 6], [12, 8], [2, 7]]","[125, 179, 145]","[[1, 6], [12, 3], [7, 7]]","[120, 59, 150]","[[1, 6], [12, 1], [12, 7]]","[120, 11, 155]","[[1, 6], [12, 1], [11, 7]]","[120, 11, 154]"
3_12_case10_190,logic,logic/3_12_case10_190.txt,3,A,"[[1, 6], [9, 1], [12, 5]]","[120, 8, 107]","[[6, 6], [9, 7], [11, 5]]","[125, 152, 106]","[[2, 6], [9, 3], [12, 5]]","[121, 56, 107]","[[1, 5], [10, 2], [13, 4]]","[96, 33, 84]"
3_12_case10_202,logic,logic/3_12_case10_202.txt,3,B,"[[6, 6], [2, 2], [12, 11]]","[125, 25, 251]","[[1, 6], [2, 1], [12, 11]]","[120, 1, 251]","[[3, 6], [2, 1], [12, 11]]","[122, 1, 251]","[[1, 6], [1, 2], [13, 11]]","[120, 24, 252]"
