trial_id,mode,relpath_txt,n_agents,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
3_12_1000,intermediate_case1,intermediate_case1/3_12_1000.txt,3,D,"[[6, 6], [4, 9], [10, 8]]","[125, 195, 177]","[[3, 10], [2, 11], [6, 12]]","[218, 241, 269]","[[3, 12], [3, 12], [6, 12]]","[266, 266, 269]","[[4, 11], [4, 12], [7, 11]]","[243, 267, 246]"
3_12_101,intermediate_case1,intermediate_case1/3_12_101.txt,3,D,"[[10, 2], [6, 6], [8, 4]]","[33, 125, 79]","[[7, 3], [4, 4], [4, 3]]","[54, 75, 51]","[[6, 1], [5, 2], [5, 1]]","[5, 28, 4]","[[7, 1], [5, 1], [6, 1]]","[6, 4, 5]"
3_12_102,intermediate_case1,intermediate_case1/3_12_102.txt,3,A,"[[8, 8], [3, 9], [3, 6]]","[175, 194, 122]","[[12, 9], [3, 6], [6, 6]]","[203, 122, 125]","[[9, 10], [1, 6], [2, 6]]","[224, 120, 121]","[[7, 8], [4, 8], [3, 5]]","[174, 171, 98]"
3_12_103,intermediate_case1,intermediate_case1/3_12_103.txt,3,A,"[[6, 4], [4, 2], [7, 3]]","[77, 27, 54]","[[6, 6], [7, 2], [7, 5]]","[125, 30, 102]","[[7, 5], [5, 4], [8, 6]]","[102, 76, 127]","[[7, 3], [5, 3], [8, 3]]","[54, 52, 55]"
3_12_104,intermediate_case1,intermediate_case1/3_12_104.txt,3,B,"[[3, 10], [6, 6], [11, 7]]","[218, 125, 154]","[[5, 11], [6, 7], [11, 7]]","[244, 149, 154]","[[5, 11], [5, 4], [12, 6]]","[244, 76, 131]","[[5, 12], [7, 6], [12, 7]]","[268, 126, 155]"
3_12_105,intermediate_case1,intermediate_case1/3_12_105.txt,3,A,"[[12, 12], [9, 1], [7, 8]]","[275, 8, 174]","[[8, 12], [12, 1], [6, 6]]","[271, 11, 125]","[[9, 11], [9, 1], [5, 7]]","[248, 8, 148]","[[11, 12], [9, 2], [6, 9]]","[274, 32, 197]"
3_12_106,intermediate_case1,intermediate_case1/3_12_106.txt,3,C,"[[6, 6], [5, 1], [3, 3]]","[125, 4, 50]","[[4, 7], [4, 2], [2, 3]]","[147, 27, 49]","[[5, 4], [4, 1], [2, 1]]","[76, 3, 1]","[[4, 4], [3, 1], [1, 1]]","[75, 2, 0]"
3_12_107,intermediate_case1,intermediate_case1/3_12_107.txt,3,A,"[[3, 3], [6, 7], [11, 8]]","[50, 149, 178]","[[5, 4], [6, 6], [12, 7]]","[76, 125, 155]","[[5, 5], [5, 3], [12, 6]]","[100, 52, 131]","[[2, 3], [6, 6], [10, 7]]","[49, 125, 153]"
3_12_108,intermediate_case1,intermediate_case1/3_12_108.txt,3,C,"[[12, 8], [10, 2], [6, 6]]","[179, 33, 125]","[[9, 6], [11, 1], [6, 3]]","[128, 10, 53]","[[10, 5], [12, 2], [9, 3]]","[105, 35, 56]","[[9, 4], [12, 1], [8, 2]]","[80, 11, 31]"
3_12_109,intermediate_case1,intermediate_case1/3_12_109.txt,3,C,"[[6, 6], [1, 3], [2, 11]]","[125, 48, 241]","[[7, 6], [1, 3], [1, 11]]","[126, 48, 240]","[[8, 8], [1, 3], [1, 12]]","[175, 48, 264]","[[9, 8], [1, 3], [2, 12]]","[176, 48, 265]"
3_12_11,intermediate_case1,intermediate_case1/3_12_11.txt,3,A,"[[7, 2], [4, 9], [3, 7]]","[30, 195, 146]","[[10, 1], [6, 6], [6, 7]]","[9, 125, 149]","[[6, 2], [4, 7], [3, 6]]","[29, 147, 122]","[[8, 2], [3, 8], [3, 6]]","[31, 170, 122]"
3_12_110,intermediate_case1,intermediate_case1/3_12_110.txt,3,D,"[[6, 4], [6, 6], [3, 4]]","[77, 125, 74]","[[6, 4], [3, 8], [1, 6]]","[77, 170, 120]","[[6, 6], [2, 10], [1, 8]]","[125, 217, 168]","[[7, 5], [1, 9], [1, 7]]","[102, 192, 144]"
