trial_id,mode,relpath_txt,n_agents,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
5_24_1,rulemap,rulemap/5_24_1.txt,5,C,"[[12, 12], [24, 10], [18, 19], [4, 14], [16, 21]]","[275, 239, 449, 315, 495]","[[10, 7], [24, 5], [23, 17], [1, 14], [11, 24]]","[153, 119, 406, 312, 562]","[[8, 2], [24, 1], [24, 17], [1, 14], [6, 24]]","[31, 23, 407, 312, 557]","[[9, 3], [24, 1], [24, 17], [1, 14], [7, 24]]","[56, 23, 407, 312, 558]"
5_24_10,rulemap,rulemap/5_24_10.txt,5,D,"[[3, 22], [14, 20], [3, 8], [5, 5], [12, 12]]","[506, 469, 170, 100, 275]","[[1, 24], [14, 24], [1, 12], [6, 1], [17, 7]]","[552, 565, 264, 5, 160]","[[1, 24], [15, 24], [1, 13], [6, 1], [21, 3]]","[552, 566, 288, 5, 68]","[[1, 24], [16, 24], [1, 13], [6, 1], [22, 2]]","[552, 567, 288, 5, 45]"
5_24_2,rulemap,rulemap/5_24_2.txt,5,C,"[[13, 19], [12, 12], [21, 13], [13, 11], [17, 7]]","[444, 275, 308, 252, 160]","[[13, 24], [7, 16], [24, 16], [15, 12], [15, 7]]","[564, 366, 383, 278, 158]","[[13, 24], [2, 16], [24, 16], [15, 17], [14, 9]]","[564, 361, 383, 398, 205]","[[13, 24], [3, 16], [24, 16], [15, 16], [15, 10]]","[564, 362, 383, 374, 230]"
5_24_3,rulemap,rulemap/5_24_3.txt,5,B,"[[19, 13], [14, 2], [12, 12], [9, 24], [21, 12]]","[306, 37, 275, 560, 284]","[[24, 17], [9, 1], [2, 11], [9, 24], [24, 5]]","[407, 8, 241, 560, 119]","[[21, 17], [14, 1], [7, 11], [9, 24], [24, 10]]","[404, 13, 246, 560, 239]","[[24, 17], [10, 1], [3, 11], [9, 24], [24, 6]]","[407, 9, 242, 560, 143]"
5_24_4,rulemap,rulemap/5_24_4.txt,5,D,"[[11, 11], [24, 17], [23, 11], [12, 12], [21, 8]]","[250, 407, 262, 275, 188]","[[6, 6], [24, 22], [24, 12], [13, 17], [20, 3]]","[125, 527, 287, 396, 67]","[[2, 2], [24, 24], [24, 13], [9, 18], [20, 1]]","[25, 575, 311, 416, 19]","[[1, 1], [24, 24], [24, 13], [8, 18], [20, 1]]","[0, 575, 311, 415, 19]"
5_24_5,rulemap,rulemap/5_24_5.txt,5,B,"[[20, 24], [21, 21], [5, 19], [5, 6], [12, 12]]","[571, 500, 436, 124, 275]","[[20, 24], [24, 14], [1, 24], [1, 1], [7, 2]]","[571, 335, 552, 0, 30]","[[20, 24], [23, 16], [1, 24], [1, 1], [12, 7]]","[571, 382, 552, 0, 155]","[[20, 24], [24, 14], [1, 24], [1, 1], [8, 3]]","[571, 335, 552, 0, 55]"
5_24_6,rulemap,rulemap/5_24_6.txt,5,D,"[[12, 12], [22, 15], [5, 13], [12, 11], [5, 22]]","[275, 357, 292, 251, 508]","[[12, 17], [24, 15], [1, 13], [12, 6], [5, 24]]","[395, 359, 288, 131, 556]","[[12, 21], [24, 15], [1, 10], [12, 2], [1, 24]]","[491, 359, 216, 35, 552]","[[12, 22], [24, 15], [1, 10], [12, 1], [1, 24]]","[515, 359, 216, 11, 552]"
5_24_7,rulemap,rulemap/5_24_7.txt,5,D,"[[4, 14], [12, 12], [8, 2], [15, 2], [9, 12]]","[315, 275, 31, 38, 272]","[[1, 17], [17, 12], [5, 1], [20, 1], [9, 9]]","[384, 280, 4, 19, 200]","[[1, 21], [21, 12], [1, 1], [23, 1], [11, 8]]","[480, 284, 0, 22, 178]","[[1, 22], [22, 13], [1, 1], [23, 1], [11, 7]]","[504, 309, 0, 22, 154]"
5_24_8,rulemap,rulemap/5_24_8.txt,5,D,"[[15, 22], [19, 9], [12, 12], [20, 3], [22, 20]]","[518, 210, 275, 67, 477]","[[15, 24], [17, 9], [7, 12], [20, 1], [24, 20]]","[566, 208, 270, 19, 479]","[[15, 24], [13, 8], [3, 12], [22, 1], [24, 20]]","[566, 180, 266, 21, 479]","[[15, 24], [12, 7], [2, 12], [23, 1], [24, 20]]","[566, 155, 265, 22, 479]"
5_24_9,rulemap,rulemap/5_24_9.txt,5,D,"[[1, 20], [11, 10], [5, 19], [12, 12], [8, 13]]","[456, 226, 436, 275, 295]","[[1, 20], [13, 5], [9, 23], [17, 14], [6, 11]]","[456, 108, 536, 328, 245]","[[1, 20], [17, 1], [10, 24], [21, 14], [6, 7]]","[456, 16, 561, 332, 149]","[[1, 20], [18, 1], [11, 24], [22, 14], [6, 6]]","[456, 17, 562, 333, 125]"
