maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents,move_type
1,10,000,0,A,0,0,2,"(1, 2)",intermediate_case2
2,10,010,2,B,0,0,2,"(0, 2)",intermediate_case2
3,10,000,0,C,0,0,2,"(1, 2)",intermediate_case2
4,10,000,0,A,0,0,2,"(0, 2)",intermediate_case2
5,10,000,0,B,0,0,2,"(0, 2)",intermediate_case2
6,10,010,2,C,0,0,2,"(0, 2)",intermediate_case2
7,10,011,3,A,0,0,2,"(0, 1)",intermediate_case2
8,10,000,0,B,0,0,2,"(0, 1)",intermediate_case2
9,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
10,10,011,3,A,0,0,2,"(1, 2)",intermediate_case2
11,10,000,0,B,0,0,2,"(0, 1)",intermediate_case2
12,10,000,0,C,0,0,2,"(0, 1)",intermediate_case2
13,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
14,10,000,0,B,0,0,2,"(0, 2)",intermediate_case2
15,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
16,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
17,10,000,0,B,0,0,2,"(1, 2)",intermediate_case2
18,10,000,0,C,0,0,2,"(1, 2)",intermediate_case2
19,10,011,3,A,0,0,2,"(1, 2)",intermediate_case2
20,10,010,2,B,0,0,2,"(0, 1)",intermediate_case2
21,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
22,10,000,0,A,0,0,2,"(0, 2)",intermediate_case2
23,10,001,1,B,0,0,2,"(0, 1)",intermediate_case2
24,10,000,0,C,0,0,2,"(1, 2)",intermediate_case2
25,10,000,0,A,0,0,2,"(0, 2)",intermediate_case2
26,10,000,0,B,0,0,2,"(1, 2)",intermediate_case2
27,10,000,0,C,0,0,2,"(0, 1)",intermediate_case2
28,10,000,0,A,0,0,2,"(1, 2)",intermediate_case2
29,10,000,0,B,0,0,2,"(0, 2)",intermediate_case2
30,10,000,0,C,0,0,2,"(0, 1)",intermediate_case2
31,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
32,10,000,0,B,0,0,2,"(0, 1)",intermediate_case2
33,10,111,7,C,0,0,2,"(0, 1)",intermediate_case2
34,10,010,2,A,0,0,2,"(1, 2)",intermediate_case2
35,10,000,0,B,0,0,2,"(0, 2)",intermediate_case2
36,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
37,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
38,10,000,0,B,0,0,2,"(1, 2)",intermediate_case2
39,10,010,2,C,0,0,2,"(0, 1)",intermediate_case2
40,10,000,0,A,0,0,2,"(0, 2)",intermediate_case2
41,10,000,0,B,0,0,2,"(1, 2)",intermediate_case2
42,10,000,0,C,0,0,2,"(0, 1)",intermediate_case2
43,10,000,0,A,0,0,2,"(0, 2)",intermediate_case2
44,10,010,2,B,0,0,2,"(1, 2)",intermediate_case2
45,10,011,3,C,0,0,2,"(0, 2)",intermediate_case2
46,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
47,10,000,0,B,0,0,2,"(0, 1)",intermediate_case2
48,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
49,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
50,10,000,0,B,0,0,2,"(0, 2)",intermediate_case2
51,10,000,0,C,0,0,2,"(0, 1)",intermediate_case2
52,10,001,1,A,0,0,2,"(1, 2)",intermediate_case2
53,10,010,2,B,0,0,2,"(1, 2)",intermediate_case2
54,10,000,0,C,0,0,2,"(1, 2)",intermediate_case2
55,10,000,0,A,0,0,2,"(1, 2)",intermediate_case2
56,10,111,7,B,0,0,2,"(0, 2)",intermediate_case2
57,10,000,0,C,0,0,2,"(0, 1)",intermediate_case2
58,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
59,10,000,0,B,0,0,2,"(1, 2)",intermediate_case2
60,10,111,7,C,0,0,2,"(0, 2)",intermediate_case2
61,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
62,10,000,0,B,0,0,2,"(1, 2)",intermediate_case2
63,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
64,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
65,10,011,3,B,0,0,2,"(1, 2)",intermediate_case2
66,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
67,10,000,0,A,0,0,2,"(0, 2)",intermediate_case2
68,10,011,3,B,0,0,2,"(1, 2)",intermediate_case2
69,10,000,0,C,0,0,2,"(0, 1)",intermediate_case2
70,10,001,1,A,0,0,2,"(0, 2)",intermediate_case2
71,10,011,3,B,0,0,2,"(0, 2)",intermediate_case2
72,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
73,10,000,0,A,0,0,2,"(1, 2)",intermediate_case2
74,10,000,0,B,0,0,2,"(1, 2)",intermediate_case2
75,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
76,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
77,10,001,1,B,0,0,2,"(0, 1)",intermediate_case2
78,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
79,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
80,10,000,0,B,0,0,2,"(0, 1)",intermediate_case2
81,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
82,10,000,0,A,0,0,2,"(1, 2)",intermediate_case2
83,10,000,0,B,0,0,2,"(0, 2)",intermediate_case2
84,10,010,2,C,0,0,2,"(0, 1)",intermediate_case2
85,10,000,0,A,0,0,2,"(0, 2)",intermediate_case2
86,10,000,0,B,0,0,2,"(0, 2)",intermediate_case2
87,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
88,10,001,1,A,0,0,2,"(0, 1)",intermediate_case2
89,10,010,2,B,0,0,2,"(0, 1)",intermediate_case2
90,10,000,0,C,0,0,2,"(1, 2)",intermediate_case2
91,10,000,0,A,0,0,2,"(1, 2)",intermediate_case2
92,10,000,0,B,0,0,2,"(0, 1)",intermediate_case2
93,10,000,0,C,0,0,2,"(1, 2)",intermediate_case2
94,10,000,0,A,0,0,2,"(0, 1)",intermediate_case2
95,10,000,0,B,0,0,2,"(1, 2)",intermediate_case2
96,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
97,10,000,0,A,0,0,2,"(0, 2)",intermediate_case2
