Maze:
######################################
#                                    #
#                                    #
#                                    #
#                                    #
#                                    #
#     ##########################     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #          A             #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #            S           #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #                        #     #
#     #              B         #     #
#     #                        #     #
#     ##########################     #
#                                    #
#                                    #
#                                    #
#                                    #
#                                    #
######################################
[[13. 13.]
 [11.  7.]
 [15. 23.]
 [13. 12.]
 [12.  7.]
 [15. 22.]
 [13. 12.]
 [12.  7.]
 [14. 22.]
 [13. 11.]
 [12.  7.]
 [14. 22.]
 [12. 11.]
 [12.  6.]
 [14. 22.]
 [12. 11.]
 [12.  6.]
 [13. 22.]
 [12. 10.]
 [12.  6.]
 [13. 22.]
 [11. 10.]
 [12.  6.]
 [13. 22.]
 [11. 10.]
 [13.  6.]
 [13. 22.]
 [11. 10.]
 [13.  7.]
 [13. 22.]
 [11. 10.]
 [14.  7.]
 [13. 22.]
 [11. 10.]
 [14.  7.]
 [12. 22.]
 [11.  9.]
 [15.  7.]
 [11. 22.]
 [10.  9.]
 [14.  7.]
 [11. 23.]
 [10.  9.]
 [14.  7.]
 [10. 23.]
 [10.  9.]
 [14.  7.]
 [ 9. 23.]]
