maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents,move_type
1,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
2,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
3,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
4,10,001,1,A,0,0,1,"(0, 1)",intermediate_case1
5,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
6,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
7,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
8,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
9,10,001,1,C,0,0,1,"(1, 2)",intermediate_case1
10,10,010,2,A,0,0,1,"(1, 2)",intermediate_case1
11,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
12,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
13,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
14,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
15,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
16,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
17,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
18,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
19,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
20,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
21,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
22,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
23,10,010,2,B,0,0,1,"(0, 1)",intermediate_case1
24,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
25,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
26,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
27,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
28,10,001,1,A,0,0,1,"(1, 2)",intermediate_case1
29,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
30,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
31,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
32,10,111,7,B,0,0,1,"(0, 2)",intermediate_case1
33,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
34,10,001,1,A,0,0,1,"(0, 2)",intermediate_case1
35,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
36,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
37,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
38,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
39,10,001,1,C,0,0,1,"(0, 1)",intermediate_case1
40,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
41,10,010,2,B,0,0,1,"(0, 2)",intermediate_case1
42,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
43,10,001,1,A,0,0,1,"(0, 1)",intermediate_case1
44,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
45,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
46,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
47,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
48,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
49,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
50,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
51,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
52,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
53,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
54,10,100,4,C,0,0,1,"(1, 2)",intermediate_case1
55,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
56,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
57,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
58,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
59,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
60,10,001,1,C,0,0,1,"(1, 2)",intermediate_case1
61,10,010,2,A,0,0,1,"(0, 2)",intermediate_case1
62,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
63,10,010,2,C,0,0,1,"(0, 2)",intermediate_case1
64,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
65,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
66,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
67,10,010,2,A,0,0,1,"(0, 2)",intermediate_case1
68,10,001,1,B,0,0,1,"(0, 1)",intermediate_case1
69,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
70,10,010,2,A,0,0,1,"(1, 2)",intermediate_case1
71,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
72,10,001,1,C,0,0,1,"(1, 2)",intermediate_case1
73,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
74,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
75,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
76,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
77,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
78,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
79,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
80,10,100,4,B,0,0,1,"(0, 1)",intermediate_case1
81,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
82,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
83,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
84,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
85,10,001,1,A,0,0,1,"(0, 2)",intermediate_case1
86,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
87,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
88,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
89,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
90,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
91,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
92,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
93,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
94,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
95,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
96,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
97,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
98,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
99,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
100,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
101,10,011,3,B,0,0,1,"(0, 1)",intermediate_case1
102,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
103,10,010,2,A,0,0,1,"(1, 2)",intermediate_case1
104,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
105,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
106,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
107,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
108,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
109,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
110,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
111,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
112,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
113,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
114,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
115,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
116,10,010,2,B,0,0,1,"(1, 2)",intermediate_case1
117,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
118,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
119,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
120,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
121,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
122,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
123,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
124,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
125,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
126,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
127,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
128,10,100,4,B,0,0,1,"(0, 2)",intermediate_case1
129,10,001,1,C,0,0,1,"(0, 1)",intermediate_case1
130,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
131,10,110,6,B,0,0,1,"(0, 1)",intermediate_case1
132,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
133,10,010,2,A,0,0,1,"(0, 2)",intermediate_case1
134,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
135,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
136,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
137,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
138,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
139,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
140,10,010,2,B,0,0,1,"(1, 2)",intermediate_case1
141,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
142,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
143,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
144,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
145,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
146,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
147,10,001,1,C,0,0,1,"(0, 1)",intermediate_case1
148,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
149,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
150,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
151,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
152,10,010,2,B,0,0,1,"(0, 2)",intermediate_case1
153,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
154,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
155,10,010,2,B,0,0,1,"(1, 2)",intermediate_case1
156,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
157,10,100,4,A,0,0,1,"(1, 2)",intermediate_case1
158,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
159,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
160,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
161,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
162,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
163,10,001,1,A,0,0,1,"(1, 2)",intermediate_case1
164,10,010,2,B,0,0,1,"(0, 2)",intermediate_case1
165,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
166,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
167,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
168,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
169,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
170,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
171,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
172,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
173,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
174,10,001,1,C,0,0,1,"(0, 2)",intermediate_case1
175,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
176,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
177,10,001,1,C,0,0,1,"(1, 2)",intermediate_case1
178,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
179,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
180,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
181,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
182,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
183,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
184,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
185,10,000,0,B,0,0,1,"(0, 1)",intermediate_case1
186,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
187,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
188,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
189,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
190,10,000,0,A,0,0,1,"(1, 2)",intermediate_case1
191,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
192,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
193,10,001,1,A,0,0,1,"(0, 1)",intermediate_case1
194,10,001,1,B,0,0,1,"(0, 1)",intermediate_case1
195,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
196,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
197,10,000,0,B,0,0,1,"(0, 2)",intermediate_case1
198,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
199,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
200,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
201,10,000,0,C,0,0,1,"(0, 1)",intermediate_case1
202,10,010,2,A,0,0,1,"(1, 2)",intermediate_case1
203,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
204,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
205,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
206,10,010,2,B,0,0,1,"(0, 1)",intermediate_case1
207,10,000,0,C,0,0,1,"(1, 2)",intermediate_case1
208,10,000,0,A,0,0,1,"(0, 1)",intermediate_case1
209,10,000,0,B,0,0,1,"(1, 2)",intermediate_case1
210,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
211,10,000,0,A,0,0,1,"(0, 2)",intermediate_case1
212,10,010,2,B,0,0,1,"(0, 2)",intermediate_case1
213,10,000,0,C,0,0,1,"(0, 2)",intermediate_case1
