Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #     C      #     #
#     #         B  #     #
#     #    A       #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 5.  8.]
 [10.  7.]
 [ 6.  6.]
 [ 5.  7.]
 [ 9.  6.]
 [ 5.  5.]
 [ 4.  7.]
 [ 8.  7.]
 [ 4.  6.]
 [ 5.  7.]
 [ 8.  6.]
 [ 5.  5.]
 [ 5.  6.]
 [ 8.  7.]
 [ 5.  5.]
 [ 6.  5.]
 [ 8.  6.]
 [ 6.  4.]
 [ 6.  6.]
 [ 8.  7.]
 [ 6.  5.]
 [ 6.  7.]
 [ 9.  6.]
 [ 7.  5.]
 [ 7.  7.]
 [10.  5.]
 [ 8.  4.]
 [ 6.  6.]
 [10.  4.]
 [ 7.  3.]
 [ 7.  6.]
 [ 9.  5.]
 [ 7.  4.]]
