maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents,move_type
1,10,000,0,A,0,0,2,"(0, 2)",intermediate_case2
2,10,000,0,B,0,0,2,"(0, 1)",intermediate_case2
3,10,000,0,C,0,0,2,"(0, 2)",intermediate_case2
4,10,000,0,A,0,0,2,"(1, 2)",intermediate_case2
5,10,001,1,B,0,0,2,"(0, 1)",intermediate_case2
6,10,000,0,C,0,0,2,"(1, 2)",intermediate_case2
7,10,000,0,A,0,0,2,"(1, 2)",intermediate_case2
8,10,000,0,B,0,0,2,"(1, 2)",intermediate_case2
9,10,000,0,C,0,0,2,"(0, 1)",intermediate_case2
10,10,000,0,A,0,0,2,"(1, 2)",intermediate_case2
